,doc_id,sentence
0,0,in visions of the dark night
1,0,       i have dreamed of joy departed-
2,0,     but a waking dream of life and light
3,0,"       hath left me broken-hearted,"
4,0,
5,0,     ah! what is not a dream by day
6,0,       to him whose eyes are cast
7,0,     on things around him with a ray
8,0,       turned back upon the past?
9,0,
10,0,"     that holy dream- that holy dream,"
11,0,"       while all the world were chiding,"
12,0,     hath cheered me as a lovely beam
13,0,"       a lonely spirit guiding,"
14,0,
15,0,"     what though that light, thro' storm and night,"
16,0,       so trembled from afar-
17,0,     what could there be more purely bright
18,0,       in truth's day-star?
19,1,take this kiss upon the brow!
20,1,"and, in parting from you now,"
21,1,thus much let me avow-
22,1,"you are not wrong, who deem"
23,1,that my days have been a dream;
24,1,yet if hope has flown away
25,1,"in a night, or in a day,"
26,1,"in a vision, or in none,"
27,1,is it therefore the less gone?
28,1,all that we see or seem
29,1,"is but a dream within a dream,"
30,1,
31,1,i stand amid the roar
32,1,"of a surf-tormented shore,"
33,1,and i hold within my hand
34,1,grains of the golden sand-
35,1,how few! yet how they creep
36,1,"through my fingers to the deep,"
37,1,while i weep- while i weep!
38,1,o god! can i not grasp
39,1,them with a tighter clasp?
40,1,o god! can i not save
41,1,one from the pitiless wave?
42,1,is all that we see or seem
43,1,but a dream within a dream?
44,2,how shall the burial rite be read?
45,2,the solemn song be sung ?
46,2,"the requiem for the loveliest dead,"
47,2,that ever died so young?
48,2,
49,2,"ii,"
50,2,
51,2,"her friends are gazing on her,"
52,2,"and on her gaudy bier,"
53,2,and weep ! - oh! to dishonor
54,2,dead beauty with a tear!
55,2,
56,2,"iii,"
57,2,
58,2,they loved her for her wealth -
59,2,and they hated her for her pride -
60,2,"but she grew in feeble health,"
61,2,"and they love her - that she died,"
62,2,
63,2,"iv,"
64,2,
65,2,they tell me while they speak
66,2,"of her ""costly broider'd pall"""
67,2,that my voice is growing weak -
68,2,that i should not sing at all -
69,2,
70,2,"v,"
71,2,
72,2,or that my tone should be
73,2,tun'd to such solemn song
74,2,"so mournfully - so mournfully,"
75,2,"that the dead may feel no wrong,"
76,2,
77,2,"vi,"
78,2,
